,blog
35,"We later left for Franz Josef, pitched tents with the setting sun ambiance and the glacier as background. Beautiful. I had quite wacky dreams, but not the feverish kind. Just plain wacky. First item on the agenda, a walk on the glacier, guided by my cousin. An awsome experience - pictures will speak for themselves when up (I hope!). It was nice to be a small independent group, not part of a larger group among the hundreds of guided tourists. They lookes like chain gangs climbing the glacier, generally led by a quite neutral-faced an in-interactive guide. We were some 5 hours on the ice. I had promised my cousin dinner at Cafe de Paris in Hokitika today. Hokitika is some 150 Km down the road so I got a freebie ride in his car. On the way we made several stops, including Okarito Beach and some secret hotpools. Beauty. Cafe de Paris was up to its reputation - as recommended by Kirby in Wellington. After dinner, it was dark, we did not know where we would sleep - but Bill from Cameron Flat had pointed-out a camping spot on my map near Hokitika by Lake Kaniere, which we found. Today was an exceptional, well-packed day. Yesterday's cold made its way out of my system and the guts are feeling better. Cheers to that. Todays song is Some Like It Hot by Powerstation. Rene                           "
36,"Kumara Junction is a roundabout, with a railway track going straight through it. Does the train have to yield to its right? We unloaded the bike from the car, loaded it with my gear. I could not find my biking gloves and towel. I told Bruno that if the found the gloves to wash them before using them, tissues are not always handy when biking... I'm going North, Bruno East. Ya gaotta say goodbye sometime and we had a blast and thats good. Took some pictures and pedalled away yelling 'Four!... one two three FOUR!' Elvis Gratton fans will understand. Soon I had Brothers In Arms playing on my cerebral jukebox. Weather was beautiful, a side-tail breeze which would last all day (!). In Greymouth, got a pair of spokes for my front wheel, checked-out the forecast which looked pretty good for the next few days. I was in no rush to make it to Punakaiki - high tide was at 6:00 pm and it was 11:00 am. So I went for a tour of Monteiths Brewry. On the tour we saw a machine that takes crates of new bottles and gets the bottles out, ready for filing-up. So I asked a silly question: How are return bottles processed, if not in crates? Answer: There are no return bottles in NZ! Before leaving I met Robin, a chap that is biking NZ solo as well and crashed bigtime going downhill. His handlebar suddenly shifted 90 degrees, sending him overboard, bending the frame, etc... Major scab on his knee. Puts my incident in Gisborne into perspective. The road to Punakaiki is magnificent. More ocean, cliffs, bluffs, sun and tailwind. This is good. Made it in Punakaiki in time to check-out the blowholes at high tide, but since its only a half-moon, high tide isnt all that high = no blowholes. Fixed bike instead, big dinner, found biking gloves and towel. Went to the beach to look at the sunset, lots of people there, waiting as if for a fireworks display. My guts are feeling better again. Good. Rene                   "
37,"I knew the road ahead was hilly, but nothing too serious - just many 50, 100, 200 meter-hills to climb. Atop a hill I met a lady from Holland and a chap from the US, maybe late 30's on mountain bikes. He was working on his chain cos it had just broke coming up the other side of the hill. Blackend hands by the dirty chain, sandflies biting, stuck chain links - he was not having a good time. So the lady and I chatted about our current biking trips. That may not have helped the morale of Blackhand. I was soon on my way to another hill to climb with a group of organized-tour cyclists arriving. The sky was still cloudy, a light headbreeze, going down another hill, another lady was climbing up. We saluted, me of the hand, her with a smile. A wide sunshine smile. Should have stopped, but I was going downhill pretty fast. Should have stopped anyway. Stopped at the Charleston Cafe for an All-Day Breakfast. It was noonish, still cloudy, chilly and windy. Often NZ breakfasts are quite expensive. Example: 2 eggs, bacon and toast can be over 10$. This was a good deal breakfast and it was excellent. As I walked out the door, it started to rain, a few drops. Soon I had a decision to make, go directy to Westport or go through spectacular Cape Foulwind then to Westport (add 16 Km). I chose Cape Foulwind and went for a short hike there. The scenery was truly beautiful, spectacular and wet. The scenery and smells reminded me of Brittany. It started to rain steadily, but the winds were back to a breeze. There are many mines (as in mining / minerals, not landmines) around - for coal or limestone. Saw some pretty big mining trucks hauling limestone, but no pictures cos it was raining so much. Made it to Westport around 4:15, raining, chilly, wet. Met 2 guys pedalling around NZ on mountainbikes with their surfboards strapped to them (one of the guys also had a flyline). Now thats a first. There are nice surfing beaches around here. Got to a Backpackers hostel in a big old house surrounded by less attractive houses - some are boarded-up. We are 2 guests in the place. Lots of room. Ate a real big dinner, logging journal, falling asleep... Rene Songs: Rever Mieux; Ca fait mal en d'dans; and that song I think is from Dawsons Creek, you know 'I dont wanns wait for our live to be over, Will it be yes or will it be sorry....' I've heard that song so many times down here - more than any other by a mile - so much that it worked its way in.         "
38,"The road up the Buller Gorge is beautiful and very enjoyable riding - curvy, a few small hills... great cruising. I made it to Inangahua by 2:00 where I stopped for pies and ice cream in the shade at a store - the Sun was really beating down. The lady at the counter was quite talkative and we had a good time. Then the oddest thing happened. A large truck with 2 trailers hauling cattle stopped next to the store. The drivers assistant came out of the truck, unhooked the 2nd trailer. The husband of the lady at the counter (in his early 60s), walks over in front of the truck to protest by blocking it. The driver slowly drives forward. The husband clings to the front of the truck, feet dragging. The driver of the truck moves forward erratically, trying to get rid of the husband. Stops. The husband stands in front again. Truck moves slowly forward and so on. The wife which was away from the counter for a moment calmly says : 'Oh, he's trying to run him over'. WHERE AM I RIGHT NOW? THIS IS INSANE! The husband finally climbs on the front of the truck (it is one of those vertical front trucks), feet on the bumper, hands holding on some bar protecting the windshield washers, yelling face-to-face through the windshield at the driver. The truck moves event more erratically forward, a bit faster. If he falls, the truck wont be able to stop. The truck finally drives down a farmroad next to the store, husband holding to the front of the truck. I thought the driver might try to squeeze the husband between the truck and the bushes or something. Totally weird. I ask the wife what the he.. was going on. She explained that the driver leaves his trailer of stock next (sometimes in front) of the cafe, in the sun. The animals dont smell all that good, nor does their doo. The truck then goes down to the farm to either deliver or pick-up stock in the 1st trailer, comes back up, hitches the 2nd trailer and takes off. The whole process may take 30 minutes. The same scene happens every time. Ya gotta stand up for yourself the lady says. No matter, this is totally crazy. I leave the store the Sun a bit lower, but still very hot and a strong headwind. Gotta stop, which I did in Lyell, to give a chance for the wind to maybe change direction and the Sun to go down a bit more. By 4:00 and a heap of dead sandflies later I hit the road with a nice fresh tailwind. Beauty. Made it to Murchison around 6:00, hit the campground by the river, fished a bit, chat with neighbors, dinner and sleep. There were more trucks on the road today, which reminded me of the North Island. I decided that I will not bike on the North Island on my way to Auckland. The biking part of this trip will end in Wellington. A stop in Te Awamutu on the way to Auckland and that will be it. In the meantime, enjoy the North of the South Island and Wellington. Cheers, Rene           "
39,"Cheers, Rene"
40,"Todays songs (for days I might not have given any): A Criminal Mind, Gowan (crossed the Gowan River today) Head Over Feet (?), Miss Morrissette. More Than a Feeling, Boston - That song is getting huge airplay in NZ. Dis I mention Philadelphia Freedom a few days ago?  Not much Francophone... must be the english surroundings. So, about this day, well nothing spectacular. Got to walk an abandonned raiway track and tunnel. Yeah, that was cool. Always wanted to do that. As I rode, the skies were clearer, even some sunshine! Really not much civilisation along this road, but found a pub and by the pictures in it, a lot of bikers hang out here sometimes. Steak pie, wedges n' sour cream, and 2 ginger beers. I'm gonna miss the ginger beer once back home. There were 2 mean climbs today, the second being a long, steady, straight, probably 10% grade hill. Felt like Steve Bauer. I rocked the flats, struggled in the hills. Actually my legs felt jammed - you know the feeling, like they're made out of lead. Enjoyed a tailbreeze most of then afternoon, but after looking at the Ruterford monument, the winds had shifted to headwinds. Oh well. So I am in this town just south of Nelson, it is close to 5:30 PM, I will camp here tonite - lots of traffic - and bike into town tomorrow morning. Gotta clear my camera card n' burn a CD. Its full. If yer wondering why this text is makes less sense than usual, its cos I just stopped riding and full of endorphins, smiling with an empty look in my eyes. One beer and I'll be out. Beautiful weather outside. Cheers, Rene I do!           "
41,"The breezes soon turned to strong northerly winds. After breakfast I headed due North for Nelson, about 10 Km away. The winds pushed me back to Richmond with authority. So I waited, walked the Main, check-out some shops and the mall. It does not feel so much like Christmas - not many decorations outside and the weather is warm if not real hot (30's +). But in the mall, it is 'Christmas' - the commercial one. That was a reality check. By noon winds were still very strong, from the North. So I called-up some family and friends to shoot the bull a bit. By the way, it does not cost much (15 cents a minute) and with the calling card I have (E-Phone) the line to North-America is top quality. It was quite special to talk to folks back home, in the cold and short days. The winds were still blowing hard from the North, so I bought a book and headed for the pub for a pint. By 4:00 the winds had weakened, but it started to rain. I figured that since my stuff was already packed and loaded, might as well go to Nelson even if it was raining. Off to Nelson with a manageable headwind. Nelson has the largest motorcamp in the southern hemisphere. I was there. Good thing it was practically empty. And it rained harder. Fell asleep in my tent around 6:00 to wake-up around 8:00 (2 hours later) to clear skies and a beautiful sunset. Hit the pub for some grub and I was back to sleep... It is tiresome to spend all day waiting! I should make it to Picton by Monday to catch a ferry to Wellington. Cheers, Rene                 "
42,"The road from Nelson to Havelock is not really a nice one, scenery wise and traffic wise. Good thing its Sunday cos there are less trucks, and if I look at all the tree plantations along the road, there must be A LOT of logging trucks on weekdays. And the hills are very windy climbs. TGIS. Made it to Rai Valley by noon and chowed down my regular pie, ginger beer and ice cream. The big hills were out of the way, but the traffic was fast moving and the Sun beating down. The water level in the Pelorus River that the road followed was low. Somehow I sounded strange to me, but there it was, low water. I've been here since spring floodings and now, well its summer water levels. It was another 27 Km to Havelock. I was minded to get there in spite of the fast Sunday traffic, the Sun and the headwind (yes, a pretty strong headwind for the last 15 Km or so...). Met 2 ladies with heavily loaded bikes and daypacks on their backs, looking like they were preparing to leave. They did not look like used to cyclotouring. Felt like telling them to ship half of their stuff home, and re-arrange their panniers, but I didn't. I was tired and logged this bit into the journal instead. It is 3:15 PM, the sky is cloudless and the sun is really strong. I'll wait another hour before hitting the road again. It is 35 Km of up-and-down to Picton (and the Ferry). Will see how things go, likely camp somewhere in between on the beach. Last night in full cycling mode. Cheers, Rene Lotsa songs today. Les Colocs, Zebulon, Steve Miller... Finally made it to a DOC (department of conservation) campground around 5:00, greeted by the campground manager (there were only a few tent sites), a man in his 60's, white beard and hair, big smile with a tan, enjoying a sip of white wine with a bucket of HUGE green lipped mussels. I asked him if he got the mussels from the waters here - indeed, but at low tide, which was maybe 2 hours ago. So he offered me 4 of them. They are as big as my hand. I dug some cockles to add to that and had a fresh shellfish feast for dinner. Too bad I did not have a few beers with me. Great campsite, great view, great fresh food. This was really good. Also met a chap from Dunedin (NZ) we talked biking a bit. The sunset was dull coloured. Hmmm... we shall see what the weather is like tomorrow, but it dont look promising.                     "
43,"Cheers, Rene Later... On the Wellington side of the ferry, Susan and Kirby picked-me up before the Wanuiomata hill, on the Hutt side. Come to think of it, it was a good thing, that hill is steep, long and heavy traffic. Thanx. Had a few beers on the porch, supper and a quiet evening. Nothing exciting and thats OK.                   "
44,
45,"Not much biking planned from here on. The bike will be used for carrying my gear and travelling short distances in towns, etc. Its a special feeling to prepare the end. A big snow storm hit the eastern coast back home. Here it is 20-some degrees. Life is good. Cheers, Rene"
46,Thats all. Cheers. Rene         
47,"Many big cumulonimbus clouds patrolled the sky in the afternoon. Quite spectacular. The first part of the bus ride was very hilly and narrow roads. Made it in Te Awamutu late afternoon, hometown of the Finn Brothers and yes, I love their music. Something special was in the air, but hey, its also just another NZ town of some 8000 people. Nonetheless, senses were awake to get the feel of the town, from its sidewalks to the rose garden (where I had fish n' chips and ginger beer - Recomended by the campsite owner). Took a ride around town, located some Finn sites, went back to the tent for an early sleep but is it ever muggy. Hard to fall asleep. Cheers, Rene       "
48,"Spent the morning in the Te Awamutu museum which has a display of the Finn brothers (and Split Enz and Crowded House), local maori objects and historical items. A very well presented and enjoyable museum. Bravo! Will be taking the bus out of Te Awamutu to Auckland this evening, and go back to the campground where this bike trip started for 2 nights. See what the weather is like on Saturday (tomorrow) to see what I'll be doing - the botanical gardens are not too far from the campsite. Feeling the departure jitters, not wanting the trip to end, but also looking forward to see friends, family and my own bed. Hats off to my sleeping bag, slept very few nights without it. Well thats it for now. Gonna check out the town some more before taking the bus. Cheers, take care. Rene         "
49,"As I pitched my tent an English couple came by from the van next door. We started chatting away when the occupant of the tent next to mine presented himself, leaning against a tree next to us. He spoke very good english (at a somewhat uneven speed) with a strong accent - happened to be a norwegian accent. Meet Bob (lets call him Bob). All four of us went to the bottle store a short distance from the campsite, I could use a drink, Bob was almost out of a chocolate drink which came in a screw-top, 1 liter clear plastic bottle. At our return Bob explained why he was on the bottle, now he had some raspberry drink in a screw-top, 1 liter clear plastic bottle. Without getting too personal, Bob was escaping his newly ex-wife in NZ and he really missed his kids. He wanted to speak Norwegian bad. So I asked him what `Yes` was in Norwegian. It sounds like `Yah`. So he spoke to me in Norwegian and I just said `Yah` once in a while when it sounded right to do so. It helped a wee bit there and then. It was a special evening for the 4 of us around the picnic table. Must have been a tough morning for Bob the next day, but he was not up yet when I left fot the Botanic Gardens. The botanic gardens were not spectacular, but a good place to be on this hot and humid day. Great coffee too. Nothing much happened today as I ran errands and got my stuff together. Hmmm... Had supper at the Happy Days buffet, as I did on day 1, which was packed for Christmas office dinners. Yeah, nothing exciting today, but enjoying the nice warm weather before going back to winter. Cheers, Rene       "
50,"Final packing went well, got all the souvenirs in the panniers and I was off to the airport with heaps of time ahead of me. Had a last lunch by the airport with a ginger beer looking at airplanes taking off and landing. Then it was time for the Airport Procedures Bonanza (APB) to start. 1. Get box for bike.  2. Fit bike in box  3. Go through a pre-boarding security check. A security officer pulled me over asking if I was going to L.A. so we could check my luggage for anything that could mean trouble in the USA. He kept my empty but smelly fuel bottle, my leftover packaging tape, an open puncture repair glue tube. Off to step 4 now. * Wait in line  4a. Get panniers in a plastic bag.  4b. Check-in luggage.  5a. Find where to pay Leaving Tax and...  * Wait in line, and...  5b. pay the tax.  6. Fill NZ customs form.  * Wait in line  7. Go through NZ customs.  * Wait in line  8. Go through security post1.  * Wait in line  9. Go through security post 2.  * Wait in line  10. Boarding Did not have much sleep on the flight to LA, about 3 hours. Should not have taken coffee after dinner. Now to LA airport... Steps at LA airport... 1. Fill US customs form (on plane) * Wait standing in line (90 minutes...) 2. Go through customs 3. Pick-up luggage at caroussel 4. Go through customs with luggage 5. Go to transferring passengers luggage check-in counter but since I have an oversize item, I have to go to the Air Canada check-in counter. 6. Go to Air-Canada check-in counter * Wait in line 7. Get luggage checked again (it was done for the whole trip in NZ) 8. Drop the luggage at the giant x-ray machine 9. Go through check before security * Wait in line 10. Go through security 11. Have a beer (if you have any time left) because it took over 2 hours changing planes. Well Rene, its over. I'm an hour away from Montreal, flying away from the last light of the sunset. Back to Reality Base. Wonder if I've been away at all. Good thing I logged this journal to remind me that I was indeed away. I'm trying to write in French, but I keep switching back to English. Need practice to think in French. And go back to walking/driving on the right side! Really glad I spent some time with Matt and his family in Sydney and with my cousin in Christchurch. As always travelling by bike was a unique way of seeing the country. Dont bike the North Island. Take the bus or buy a van or rent a car for the North Island. The South Isalnd is a pleasant place to bike, beyond compare with the North Island. What else Rene? Wish ya caught a fish? Yeah, I guess so, but its OK. I learned quite a bit anyway. I'll practice nymphing and maybe I'll go back one day to settle the score. Long ways to go to catch a fish. I kinda regret that I did not go fishing with the chap from South Africa in Rotorua, but I could not stay. I was exhausted mentally and physically and wanted to go to the South Island ASAP. Meeting Angelika and Phil lifted my spirits and my stay in Christchurch was most healing. The riding from there was a blast. The stop in Te Awamutu leaves a nice funny feeling that when I think of it, just makes me smile. Cheers to all who came over to talk, gave me shelter, shared a few beers or slowed down to avoid running into me. As we are making our descent, I can see snowflakes on the airplane`s wing strobelights. Cool. So it is snowing. We are landing facing East. Hmmm... Easterly wind... Maybe this is the beginning of a snowstorm.  Dorval airport procedures: 1. Fill Customs form (on plane) * Wait in line 2. Go through customs 3. Wait for luggage (bike box took at least 20 minutes) 4. Go through customs with luggage. 5. Be greeted by friends. Now thats nice. And it is the beginning of a snowstorm. What timing.   
Show links to this
Hide links to this
  
   "
51,
52,"About guides: There are a few cycling guides for NZ out there, the most recent ones being the Pedallers Paradise, North and South Islands, and Lonely Planet. Pedallers Paradise guides cover most of NZ roads, so where ever you are going, you will know what to expect gradient-wise, accomodation-wise, and sites of interest along the way. Also regularly updated (seems to be yearly lately). Both guides are the work of locals and since I like to root for the little guys, I travelled using the Pedallers Paradise guides. I do not regret it at all. The PEdallers PAradise guides may be hard to find, but can be ordered. Check the website at www.paradise-press.co.nz/ppguides.html Lonely Planet cycling guide to NZ has a lot of background info on cycletouring that you dont need if experienced. Does not cover all roads but suggested rides. I did use this guide to find out more about attractions and places to cycle, but did not bring it with me. Since I did not have a fixed itinerary, LP did not fit the bill. I did carry the regular NZ Lonely Planet guide for additional information, useful for general bakground information (sights, history, accomodation and orientation in big cities)."
53,"The North Island: Heavy traffic, narrow, winding, steep roads, logging trucks, some excellent but also some quite ordianry scenery, omnipresent radiata pine plantations (including massive clearcuts) make for a nerve-wrecking experience and not always rewarding scenery. I'd recommend biking a few days here and there on the island (EX: Coromandel in the off season; the East Cape, excluding the road from Opotiki to Gisborne - nice but dangerous). I would definately not recommend biking the whole island. Met a man who did so and the experience was so unpleasant that he decided to buy a car for the South Island. Big mistake. The South Island: Bike it. Enjoy the scenery, the passes, the montains, the sea... Beware of winds, rain, sandflies, Christchurch traffic and dont bike from Te Anau to Milford Sound (but do go down that road!).  If you plan a 6-week biking trip in NZ, I'd bike 4 weeks on the South Island and either do two 1-week loops on the North Island or rent a vehicle and forget about the biking."
54,"I used a touring bike and it did a great job, but its easier to find parts for a mountain bike. Tires: I'd recommend wide tires (35's) for the roads can be quite rough (chipseal) and sometimes the nicest road is the dirt road. Water: Carried two water bottles and an often handy extra 1-liter bottle in panniers. There can be long stretches between safe water supplies. Summer weather can be very hot in places. Maps: I like good maps so I know where I am at all times. The Automobile Association has good free maps - but you have to be a member or know a member ;). The Minimap series is also good. I used both. Mirror: YES! (Mounted on the right side!) Helmet: Its the law (150 $ fine) and I met poeple that got a warning from the police for not wearing a helmet. Also very useful if pedalling during magpie nesting season. Be visible: I must be getting old, but it helped knowing that I was visible when hearing a logging truck coming from behind (wore a safety vest). And if ever something does happen, like an accident (believe me, it can!), well you can say that you did your share by being visible."
55,       Do you have a Four-Square mascot picture? Send it over and we can start a unique gallery!
56,"Ice cream. On the East Cape I once saw a quite imposing (physically and visually) maori bloke with his girl walk into a dairy to come out a few moments later, each quietly licking an ice cream cone. That image stuck as the uniting power of NZ ice cream. Music. May it be any work of the Finn Brothers, Rhombus, 8-Foot Sativa, Betchadupa... kiwis like their local music and the music scene is quite alive. Sports. Cricket. Rugby. Wear black and the silver fern or die. Tidyness."
57,"27th November More bike rambling stuff, plus all the East Cape 20th Novemebr - rounded off the Coromandel section, and added the East Cape. A couple more entries in the bike giberings too. 8th November: Added the books and bike gibberish sections. And added the last bits to bring me out of the Coromandel and into Tauranga (where I am sat right now) 7th November: FINALLY got round to catching up the journal. Added the section from Rotorua to Castlerock, and also the Coromandel section."
58,"books - this is really just for me, i want to keep a track of what books I read on the trip  bike gibberings - there's lots of random things that i want to write about that aren't really related to any specific occasion. These live here. I'll probably add to them as things come to me over the trip.
"
59,"The most immediate is the menatal jukebox. Everyday some random song will be in your head. Where it comes from is anyone's guess, but there it is, on repeat for hour after hour. It's a fun thing, because it's often some rarely thought of song, and it'll take you back to other times and other places.  Also, I find I can press the mental Skip button and link from that track to another one, linked somehow by some memory. Even dafter, I've found I can replay whole movies. It's a kind of mental game, I try and think of a film or TV show I've watched a few times, and try to replay every scene. It's amazing how much you can remember of classic films. Alarmingly the only one I am really confident I have remembered virtually every scene of is The Comic Strip's More Bad News. But it kept me happy for most of an afternoon's riding. Sometimes a conversation in the evening will reming me of a good film, and I make a mental note to ""watch"" it the next day. The one 'movie' that is easiest to replay is the one I star in. I can pick whole periods of my life and see what I dredge up. And it's incredible what memory's you find lurking around. I spent days mentally walking through my old school, and thinking about what I may have done in each classroom over my years at SGS. In fact, as I write, I've still only done half the buildings there! I guess this all sounds a little odd, but there's only so long you can pedal for and keep on looking at the scenery - sometimes it's good to tour your brain, get the grey matter exercised as well."
60,"What?! I wobbled a bit, and looked round to see a magpie rearing away from me. It had basically swooped into my helmet and I think it reared away right at the last minute. Little bugger. Chatting to other tourers, and reading the journals on this site, it turns out this is a common experience. I'd never have thought that as well as watching out for the trucks you'd have to beware of birds too."
61,"Pushing off is a one-second flurry. Leg over the saddle, one foot clipped in, and push the bike, trying to get the slightest bit of momentum going in order to clip the other foot in and complete a pedal stroke. Fail that and you come to a halt pretty speedily. And if you're leaning over to one side at all at no speed, the whole she-bang lists sideways, and becomes a beached-whale affair that requires some big muscle to put upright again. Steering is like pushing the bars through treacle - very unresponsive. Gearing is a big change from the unladen bike. The granny is my friend - almost as soon as the gradient heads skywards, any momentum is lost, and whatever speed you had going down the hill is lost. Undulating roads therefore become a parade of high-speed top gear hurtles followed by 7 or 8 kph granny grunts.  After riding laden for a few days, getting back on an unladen bike is freaky - everything is just so responsive! THe first time I rode unladen after five days laden I nearly fell over due to the ridiculously responsive steering."
62,"And then you pass a field full of cows, and they ALL look at you with a look that appears to show interest but really you know they're only thinking ""Hmmm, funny human thing on funny contraption. Ah well, must eat more grass when he's out of view."" Wierd."
63,"And the roads aren't always very wide.  And they hurtle at 90-100kph.  And man, they are damn scary. They almost always give you plenty of room, but even then, it's pretty freaky to hear one of these beasts coming up behind you and then feel the buffetting effect as it passes by. All over in a flash, but you never really get used to it. Well, I haven't yet, after nearly four weeks..."
64,"Plus, every descent, every town, every view, is earnt by your own grafting. Coming over the top of a long climb and seeing a new vista opening up is a reward to savour, not just another view to snap."
65,"I've seen beer and wine sold at an 'Of-license.' Tills that will provide 'receets on request.' And plenty of their/there, it's/its blunders. I dunno. Education today, eh? I blame the government. Or somebody."
66,
67,"Here's the deal so far: - HEAVEN - the sections of baby-bottom smoothness, where the bike runs silently and without a single vibration. Not very common. - JIGGERY - probably the most common, coarse gravel tighly taramcced in, it's not particularly rough, but you feel it all the same. And after 6 or 7 hours of it, it does become a tad tedious - POPCORN - when the jiggery stuff gets really hot, the tarmace expands through in little bubbles. As you ride over it, there's a continous series of popping sounds, just like corn popping. - AMPLIFIER - really this is jiggery when riding in a tailwind. It makes every approaching vehicle sound ten times bigger and faster and closer than it really is, which makes for some pretty nervy riding. I've yet to come up with words for the other kinds (gravel, etc) And before you think I'm crazy, I've got to keep myself occupied, ok?!"
68,
69,
70,"I come to New Zealand and here they all are. There's pinballs all over the place, some old favourites, and some new to me. It's a joy to rediscover old machines and see if I can still catch the skill shots or the ramps. I am still to find a copy of the Batman pinball machine, which was the one I pumped the most money into, eventually being able to last about 20minutes on one game. When I do, I'll be staying there for a while! [heh heh, how sad is it to link to a site that has a picture of the batman pinball machine?!]"
71,"I've never understood why some people (men) think it is impressive to purchase a car that makes a lot of noise and moves from a standing start really fast. How is that impressive? What does it prove? To me, it shows that, well, you've got a lot of money to spend. And that you can multitask well - I mean, it's clearly very skillful to move the gearstick, release the clutch and press the accelerator all at the same time. Wow! You're something special. Not. Someone else built the car. Someone else designed the engine. Someone else mined the gasoline to power it. All you did was swoon over its shape, spend money on it, and put your Timberland shoes on the pedals.  Now, turning pedals quickly - THAT'S impressive. My power, my technique, my strength. ;)"
72,"""Lord of the RIngs: Return of the King"" What can one say - it is undoubtedly a masterpiece. However cynical i am about the whole thing - i mean, does it really take 10 hours of film to take a ring to a mountain - it's been a magic journey, and the effects and style of each film has been marvellous. Great fun. ""Crisis Four"", Andy McNab. Utterly utterly crap. ""The Robber Bride"", Margaret Atwood. More amazing stuff - if most women have the same ups and downs and opinions and hangups as the characters in her novels, then I think I have learnt more about the female species in reading two Atwood novels than in the rest of my life! ""Kill Bill - film. So, Tarantino's fourth film. Is he a cliche already or an original master? Well, I reckon he's a cliche. There's lots of exciting stuff in the film - some lovely shooting, and a few of the fight scenes are pretty amazing, but on the whole this was just a trundling vehicle, with no real excitement. Uma Therman though is gorgeous! ""Satin Rouge"" film. Tunisian cinema, eh? We all know and love it, and eagerly await the next blockbuster. Actually, I've never even heard of a Tunisian movie industry. Turns out this film is great though. A love triangle between a mother, daughter and belly dance club drummer, it's poignant and riddled with savage humour - the mother controls everyone throughout despite apparent vulnerability as she becomes a belly dancer herself. Great stuff. ""Love Actually"". It's so contrived - all the right buttons are pressed to create a romantic comedy. Completely unoriginal, and so packed full of The Best of English Romantic Comedy Actors And Actresses there's not even enough room for them all. The soundtrack is designed just to make a very thoughtful and imaginative Christmas gift CD for a loved one. And Hugh Grant at least twice looks into the camera, pauses, and says ""Right"". Just like he has done in his last 30 films. SO WHY THE HELL DID I ENJOY SUCH A NAUSEATINGLY SWEET FILM? I tried my hardest not to like it, but failed. And I just can't escape the fact that I think Hugh Grant is very funny. At least Rowan Atkinson was shit, just like always.  ""The Book of Eels"", Simon Fort. Yes, a book about eels. Amazing - did you know noone has ever bred an eel in captivity? Did you know all European and North American eels migrate from whichever stream they are in to the Sargasso Sea in the Atlantic to breed? But noone knows how they get there? And noone has ever seen them breed? And noone knows why some go one way and some go another? You didn't? Well, read this... ""The loneliness of the Long Distance Runner"", Alan Sillitoe A quick read, couldn't agree with the protagonist point of view, but the way he describes the joy of running is spot on, and just how i feel when out on a long bike ride. Mathstick Men (movie) Nic Cage is amazing. This film is by and large a pleasure to watch - touching and funny. Unfortunately the twist at the end is so crazy I felt it lost some of its credibility.  ""life Before Man"", Margaret Atwood Finally I read a book by Atwood. And about bloody time too. And it's great. She makes writing vivid prose seem easy - the clarity and choice of words is so perfect; I was forever double-taking as in one short concise sentence she would describe an emotion, a characteristic or a reaction in a surprising yet obvious way: ""his body hung off his spine"", ""it was like making love to a slab of Phildelphia cream cheese"". Great story of a bitter love triangle too.  ""Once Were Warriors"", Andy Duff. A tough book about a tough existende, this book hits hard. it portrays a tough existence for unemployed Maoris in this country, a lost culture, and a violent and demoralised set of people. It's very well written, and thankfully finishes with some enlightenment. It would be best to read in one go - I kept finsihing for the night at the end of some truly depressing passages! ""Matrix Revolution"" -  I really wish they had never bothered making any sequels to the Matrix. The first film amazed with its effects, and with its setting in an apparently normal world; the thrill of the film being in the abnormalities the Matrix allowed. The sequels however leave the Matrix itself and the film becomes yet another post-war-human-struggling-machines-industrial-blah-de-blah set of cliches. Knowing this, the producers clearly realised they needed to hide the unoriginality by making all the cityscapes BIGGER. The aliens FASTER and the music LOUDER.  I'm not fooled. This one concludes the trilogy, and does so with many many unoriginal ideas (APUs? Didn't we see those in Alien? Underground cities? War of the Worlds? etc). The Matrix figures fleetingly, and the directors are so without ideas they even repeat the excellent bank reception area shootout scene from the first movie in a nightclub. It's almost identical, right down to Trinity's cartwheeling, except with the really really exciting twist - the baddies can walk on the ceiling. Wow. And Morpheus. Oh man, he's dull. Let's play Morpheus Bingo: ""It is the way you choose that you shall follow"" ""There is no end, only continuity."" ""If you feel you are able, you shall be so"" ""What begins ends. After two sequels."" The script is just so corny. What began as an original concept finishes in this movie as a Star Wars good v evil rip-off. GRanted, the final scenes are pretty spectacular, but that counts less and less these days - special effects don't cover up for poor films anymore. Oh, and I had no idea what was going on either, the plot got so confused with it's cod philosophy it ceased to make any sense halfway through the second movie. And I also didn't understand the ending. ANyone care to explain? ""Dreamcatcher"", Stephen King Following the multi-day epic tramp that was Making of Memory, I figured I needed an afternoon stroll of a book to read. I haven't read a Stephen King book since It. But this is great. Rammed full of alien abduction cliches, this isn't anything particularly original, but King's bloody brilliant at writing stories that hook you in. I rattled through this in a couple of days, and enjoyed every one of its pop-trash pages. ""Making of Memory: From Molecule To Mind"", Steven Rose Some non-fiction, an explanation of the mind, and memory, and a history of scientific research into memory. This was a pretty tough read, but utterly captivating. Inevitably skewed towards his own research and opinions, Rose does a fantastic job of explaining some complex yet amazing biology. The mind is amazing, and a glimpse into how it functions only serves to emphasize just how amazing our minds are. The fact that our knowledge is still somehow pathetically limited - it's still a pretty unknown process - only enhances the amazement. There are lots of other insights into the more human side of the scientific process - arguments, trivialities, and humdrum realities of research - that make this a great book ""American Tabloid"", James Ellroy A thriller set in the 60s, the fiction is draped over the real events of the Cuba crisis and the Kennedy family's rise to fame. Ellroy's writing is pin-sharp and angry, but since I don't know enough about the real events of this period, I was never sure where the fiction met the fact, and for that reason it was on the whole a frustrating read.
"
