,blog
44,"hellow circus fans..  we have now ben biking for 1 week with so many adventures its hard to punch ummm all out... we left off in the dells with our water bottle fighting hosts... they took us for a smorgaisbord breakfast at this cute little cottage type bread and breakfast... full ov peacocks, goats and turkeys. we has such a great time with them we decided to stay another night and cook a big feast, we had another beauty night on soft beads and worm blankets. atan rose early to fix up there old cruisers so we could have arleane bike out to gulch road with us (she had not ben on a bike in 10 years) we packed our bags and headed off for the bike trail, stoppin first in reedsburg at a gas station for a little water play clownin.. seamed to intertain the truck drivers pumpin gas into their trucks... we seat off for the 400 bike trail, beatiful limestone trail with swamps and wet land manina... we were captured by the mating calls ov the frogs.. we got to see a turtle laying her eggs, a fresh water otter, bird, frogs, bunny rabbits. its always nice to see animal alive in their natural habatit rather than smushed on the side ov the road!! we took some breaks for snacking and swimming .  the juanki trailer has ben holding up pretty well with a few minor melt downs and aton ov bricks has ben pullin it somthin feirce...we stopped off in laville for some food and got a vegan pizza that a piece pepperoni happend to come with so thanks to jenkas assertiveness we got it for free. stopped in to the 2ed chance sallon for a chat with the locals and to find a place to camp but were scared away preddy quick... back to the tral we went, stopping at a little farm who said we could camp by their sighn...we set up our huge 6 person tent and had a pow wow and giggled fer a few hours before returing our heavy eye lids...  we awoke early and road in to wonewoc for breakfast at the country girls cafe' and then onward to hillsboro stopping off at the good Samaritan thrift store for new dresses, sun glasses and a feed bag. we decided to stay in hillsboro that night and do a show at the farmers market the next day... we camped at the park with a little local intimidation by the police... ... and we cooked our meal, as always, on our multi-fuel camp stove using BIODIESEL!  the next morning trinatron and ernie headed off to the counties dairy breakfast to flyer for the show at the farmers market... to get lost and go an extra 15 miles to go up a mountain to find that we should have done our show at the dairy breakfast... it really was the to do ov the county, big circus tents, a stage with old timie music and pony rides. going back to the farmers market we had a low energy show for 5 people. the amish folks appreciated our message and gave us some rurbarb cream pie why baker bob gave cinnamon rolls to the girls that tasted like perfume and chocolate eclairs to the boy along with christian tapes and commented on atans legs.  we went on our way a little sad towards the wedding out side ov lafarge..to find dreamtime village out ov nowhere... zon came out to invite us in for smothies.. we started gathering bike parts for a bike powered blender. decided to stay at dreamtime for the night and head for the wedding party in the morning... went to the coop and got some local og food and cooked up a yummie stir fry with chips and mango salsa. we all jumped for joy to find out that ernie is staying tell lacross and wajid and lilya were coming in viroqua.  arising in the morning we biked mostly downhill except for the huge on going gravel up hill we had at the end to the wedding party... we we greeted by great cheers and some madison friends had came... we ate more yummie food and prepared for our show.... as we were getting ready to perform, showers ov rain came down so we retreated to the tent for more eats and treats... after the sun came out we had a great show. one woman was so inspired she was trying to get everyone to walk back to madison. after the circus the verity show continued with some banjo, ca-zoo and guitar songs. we did some tumbling and acro balance stuff as we had a new circus recruit the age ov 5. tried to convince tyson he was a clown and he needed to com. trinity headed back to dream time to work on computer stuff wile the rest ov the group stayed for the fire. it was a sad departing but we will all meet up again at dreamtime tonight for our BIG BIG SHOW!!!
"
45,"by earnest After our departure with our dear trinitron at the wedding party,the rest of us walleyes stayed behind and had a entertaining evening of socializing with freindley folks around a campfire.The next morning we got up early and helped do some camp cleanup then we got on our bikes and had a great ride to dreamtime village where our next show was to take place.We received some assistance with transporting our gear from the wedding back to dreamtime by a very nice person named arrow.  Once we got back to dreamtime we met back up with Trinitron with much excitement and fervor.We spent our day at dreamtime relaxing and hanging out with Zan and all the nice resident's of the village.We did our show that evening to a small crowd of folks on the lawn.The show went very well and we all had a lot of fun.After the show we met a very nice lady named Angie who was very excited to talk to us.She was so cool, , she even biked to our show from La Farge!Angie told us that she works at organic valley, and that she thought that we could do a show there the next afternoon.When we heaerd about the possible show at organic valley,all of us walleyes were smiling toothy smiles!  The next morning we all woke up excited about performing at organic valley.so we got up early and biked to la farge to do the show.tThe rid there was smooth and easy until we reached town where i was told by aytayn that my bike had sprung a leak!I was little worried but it ended up being fine.Trinitron and walked the wouned bike through town until we reached organic valley. Once there we set up our show and perfromed for Angie and here co-workers and to our amazement some kids from a nearby daycare came over and saw our show too!after the show the folks at organic valley gave us lots of good organic treats! thanks organic valley!  After that we rode to readstown with Angie acompanying us for some of the way and along the way she showed us a really nice clean spring which we quenched our thirst at!We got to readstown where we stopped for the night.We met some local teens who were excited to meet us and told us about good places to camp.On the way to find a good campsite, we met up with a very nice little boy on a bike named tyler who became our freind and guide around readstown he led us to the kickapoo river but then it began to rain heavily so we decided to spend the night under a nearby gazebo near the little league field.While we were there we met another nice teenager named john who told us about his life and and family farm and also said that his family farmed for organic valley!We cooked a nice meal then set up our tent and went to sleep.it rained hard all night long.  We were woken up early by kids practicing baseball on the soggy ballfield.We got up and began our journey for gays mills.A couple of us walleyes got carried away in super biker mode and and biked farther than we were supposed to and took a longer route.Celeste and i acidentally took the long way and had to bike up a high ridge. I got kinda lost and had a dificult time.Finally while i was sad and despondent about my fate Jenka and deb from dancing waters permaculture farm appered in a car and told me i was on the right road after all!So they took all my gear for me back to dancing waters and gave me direction's.However i missed my turn again and went several miles too far and had to stop and ask a farmer where dancing waters was and then had to backtrack up a huge hill.but i finally did get there upoun my arrival i was given food and root-beer...  Wow life is really great i thought.So here we are guest's at dancing water's.It is really nice here this evening we are doing a show in gays mills at the co-op which should be a lot of fun. Well until the next wacky walleye tour update, were gonna cycle hard and have fun!
"
46,"gays mills is a great place!! the people were so welcoming and wonderful, Dancing Waters is a super place -- gardens and workshops and well-built homes in a sturdy community that's lasted over 22 years! and the coop is amazing -- because of the rain we had our show in the coop -- our best show yet! We stayed with a woman named laura who is working to challenge CAFTA -- the central american free trade agreement, which could be introduced as a bill to congress at any time -- it's already been signed by the resident-in-chief.  biking out of gays mills toward viroqua, we headed down some nice bendy country roads, with the horses munchin grass and the red-winged blackbirds swooping around us. we went over pine knob, and ate lunch in the grass by a lutheran church atop the knob. it was a really beautiful ride to viroqua, except the last few miles, which were on a crowded highway ..... roadkill and SUVs....yuck...I have been thinking about highways and bike circus lately -- when I'm on a bike tour with a bunch of people, I find myself constantly thinking about the group -- who's behind me, ahead of me, how they're riding, if they are having some problem, how to help lighten each other's load as best we can. and so we are in this kind of mobile community as we ride, with our radar feelers out for danger to our mates. but we are riding several feet away from these fast-moving vehicles that are usually occupied by a single driver (someone on the circus told me that 80% of the cars on the road in this country at any given time contain only one occupant, and that wouldn't surprise me if it were true) -- these cars bring out people's aggressive qualities, and are completely focused on self-gratification. the car gets you where you're going, quick and direct -- you don't have to think about anyone else but yourself, and in that way it serves to isolate us from each other, and make us more self-centered and speedy. it's weird sometimes to think how close these two worlds are passing each other each moment we're on the road, but how really far apart these realities are.  and just as we thought gays mills was the greatest place in southern wisconsin, we hit viroqua -- another community chock-full of great ideas and people. we just had two great shows in viroqua -- at the farmer's market (Check out the pictures) and at a party out in the countryside, at a house made of straw bales! we got to play with the rappin cowboy and ivan, while the crickets chirped all around us. well, maybe we'll write more after we get to lacrosse, but right now i'm too tired to fill in all the goofy details. the main, saddest news, is that we lost our ernie clown, because he is headed south to help stop the destruction of forests and wildland in appalachia, where he's from. check out more info on the camp at http://www.easternforestdefense.org/. He's gonna do some clownin around and get those trees saved in one of the last intact native ecosystems in virginia! go ernie!! we love you!  we got some new clowns too! wajid and his three-year old daughter laila! off we go!! to the mississippi watershed!!       "
47,"We leave southwest Wisconsin, for the first time all tour. We seemed to many people at more than one show as we had about 6 shows within a 40 mile radius. At the party on Saturday night, we played with Dave from Dreamtime and the Hogtown Stompers. He came up and sang the water song with us. We also got to see much of the Dreamtime crew the night before at the Coffee House benefit for Youth Initiative High School, where Zon, Claire and Diyanah go to school. We did the night club show and danced with Dave and our host, Jeremy, to the rock and roll tunes of Bees Stomping Grapes. Jeremy was the best. He took Ernie, Trinitron and Junka to an awsome swimin' hole, made us pizza, took care of all our basic needs and then some. Thanks Jeremy.  Raven, who runs a bike shop in Viroqua, gave us a killer route to La Crosse and we took off with the wind in our hair and a flourry of excitment...at 2 PM. Aytanathon switched bikes. The Tour De Resistance will stay with Jeremy in Viroqua and Aytan will continue on Swamyswam. Beautiful country roads over ridges and through valleys made for fine biking. We had a fine lunch and dip on a bike path.  We reached the Mississipi in time to see a freight train heading into La Crosse. Laila, Wajid and Trinity saved a box turtle from having to cross the train tracks. As we approached town, we noticed that Wajid's tire was going to have a blowout, and Trinitrons tires were falling apart, AND the trailer arm was going to snap in two! We made in to Cole's house without any breakdowns and collapsed after food, courtesy of pedal power and corporate excess. Thanks for the veggies Piggly Wiggly!  In the morning, and part of the afternoon, new tires we obtained, and Celester and A-tron spent three hours sort of fixing the wankified trailer at the corporate hardware store. We took of at 3 PM after much delay with repairs, and with a show at 7 at Wiscoy Valley Coop (30-40 miles away), we raced into Minnisota. As we climbed the Mississippi bluff, Mike and Cherie greeted us in a truck and took much weight off our bikes. Mike brought his bike and guided us to Wiscoy. We made it a bit before the sun set on the Valley and had just enough light to do our show to. Ivan Okay and Sandman, the rappin' cowboy, performed with us again, and so did Mike Bird, an acoustic punk rockstar from Winona. He brought in a huge, awsome crowd to compliment the Wiscoy crew and we had a great campfire with music and jokes:  ""Did you hear Willie Nelson got hit by a car? Yeah, he was playing on the road again!"" HA  The next morning, Ibrahim fixed the trailer. It's got a better hitch, and is much more aerodynamic. Thanks a lot.  In Winona, we hooked up with two new riders. And they both wear kilts! Andy is joining us at least to the Twin Cities, and Kilt Guy is leaving us here in Alma. He might be a bit sick from the cayenne pepper in the quinoa we ate last night. We're covering much more ground as we race towards the Twin Cities. The new trailer bin makes it easier to pack up in the morning. We got an early start today after camping out and a dip in the Mississip. We all enjoyed the playground in Buffalo City, and we found out what a good climber Laila is. ON TO MINNEAPOLIS!         "
48,"Taking off from Alma, we hit the most beautiful stretch of road yet (in my opinion)....we travelled along the 'great river road' that parallels the mississippi river on the wisconsin side. we saw heron, geese, turtles, ducks, hawks and even an eagle! (most of them were even alive, and not smushed on the road like so many of the animals we see). we got to ride in the rain for a while, through a wetland area -- water above and below us! perfect for the water tour.... and arrived, wet and miserable, in the little town of stockholm, wi -- we had a contact number there for a couple who we had been told would help us out in any way they could. as we stood in the pouring rain on the main street of stockholm, we soon discovered that this information we had been given was false -- not only would they not be able to help us out, but neither would anyone else in stockholm! cold, wet and hungry, we were directed to the city park, where we camped under the shelter (manger), for the re was no room for us at the inn....  but we awoke to much brighter skies, and took off into the sunshine to beautiful minneapolis....it was great riding, until we hit the 20 mph headwind that came straight at us, impeding our progress just a bit. we fought the wind like true warriors, and arrived, tired and happy (despite a slight confusing moment where we were separated from each other on the way to the minneapolis bike path), at the home of RAH in minneapolis. we ate breakfast at the historic delicious vegetarian seward cafe, and performed saturday night at the bedlam theatre to an appreciative, if somewhat non-expressive, minnesota audience.  on sunday afternoon we celebrated father's day with a family show in st. paul at the sibley bike depot (thanks andrew!), and got to ride around in a bike powered car! it's a super cool concept -- four riders, all pedalling, two in front, two in back, and one person doing the steering and shifting. some of the walleyes have been developing a design for a bike-powered circus caravan vehicle for future tours....  monday morning, we gained a clown! la-risky arrived in the early morn to our snoring, and performed with us that night! here's la-risky:  i'm not entirely sure what to say -- junka's recommended writing stuff from my personal journal, but mostly it's just silly little jokes to myself, not any sort of account of facts. (ie: Messy Jessy, her dreads in a frizzle, was not trying so hard, dreadful-dreadful.) But I got in on the greyhound monday morning early (5:45) and walked to rah's house once i made certain that, unlike me, my bike had absolutely positively NOT come on the bus. in the 2 days after i got myself out of that bus station and got to rah's house (covered with murals and beehive posters and old wallpaper ripped with beautiful painted house-skin and house-tissue under) i've had a crazy and excellent time. monday evening we did a show by the franklin bridge. unfortunately, it was trinitron's last show and i, suave infinite, managed to forget most of my freshly learned lines! in the evening, we had an awesome fire in the yard and approximately 1 million people invited themselves over. karen, rah's h ousemate, plays the accordion! but she unfortunately can't come with us until madeleine island. she and rah are the Angry Family -- they play songs like ""You Are My Sunshine"" in beautifully in minor keys and periodically break into moshpit-thrashing-style back and forth-hopping semi-metal.  Yesterday, we saw trinitron off on the bus with her bike in a box constructed almost entirely out of clear packaging tape. (A few cardboard panels for good measure were added) she's off to pick up a van that will run biodieselly around the country (or perhaps the whole subcontinent?) and we were sorry to see her go.  the food here is delicious, and, to use rah's word: ""bountiful"". i've become attached to people and the place remarkably quickly -- but we leave early this afternoon for Stillwater. so that's it for me....                             "
49,"i loved minneapolis...riverside bike trails, super duper dumpsters, bedlam theater, the greasepit bike shop, the bat annex free school, wacky folks all round helping and singing and riding with us in fine spirits. we ate for free, slept for free and met tons of people. thanks to the big city of da nort!  the night before we left, some of the crew went out to the dumpsters and came home with a giant load of travel booty...dried dates, dreied cherries, almonds, peaches, chocolate (!) and all kinds o food for hungry bikers...enough for the whole circus!  we left wednesday after a long day of packing and lazing about. we heaed out of town on a bike path that took us through nasty suburbs in ignorant bliss. the trail was peaceful and tree-covered, and every time we broke out into the road, i was happy we didnt have to negotiate the burbs face-2-face. we had hoped to ride to stillwater and hook up with the stragglers still camping on the black-label bike club ride to the river, but we were late and continued on the bike trail instead. as night fell, we found a lovely copse of aspen trees and set up camp on the grassy knoll. the biodiesel for the campstove must have been dirty cuz it was giving us lots o problems so we cooked a stew over wood fire and drank tequila till we all fell asleep by the embers.  next morning we said a temporary goodbye to junk-a and pedaled north on the bike trail...hooked up with hwy 95 and another bike trail (amazing!) making our way toward osceola on the wisco side. just as we were about to decend the valley to an unknown camp in a river town we saw a sign for fressh veggies and pulled in the gravel drive of Foxtail Farm to see what we could scare up. we were treated to one of the best nights yet...sympathetic farmers, great food, singin for our supper and another camp by a great fire. to top it all off, we met some super duper co-conspirators in almost every way. paul and chris have farmed the place for 15 years and run a tight operation serving some 150 folks organic food in the twin cities. they also make their own biodiesel from used grease and have built a composting pooper in their silo! we were in the perfect place! they cooked us a twilight stir fry and big meal while we set up for an impromptu show...the first since we lost junka and trinitron :( we laughed at ourselves a lot and they cheered us on with beer and good food to finish it all off.  then this morning, paul helped me filter our cruddy biodiesel for da stove and gave us another quart from their barrel while their interns and co-workers cooked us oatmeal and made us tea. tey were alll dreamy and i wanna go back! thanks Foxtail Farm!  Now we're about to hook up with a long packeed gravel trail called the Gandy Dancer trail that heads due north to Superior wisco. Tonight we hope to be in Luck for another spur-o-the-moment circus show to practice our new parts and have more clowny fun! It has been truly heartening to meet kindred solk and such good people in minnesota...               "
50,"back in minnesota. swervin in and out around different watersheds and along beautiful rivers. but just a few days ago we were rinding along the Gandy Dancer Trail.  Riding side by side(kind-of). just before we got to Luck,Wisconsin Salamander found a black cub who looked as if she had been hit by a car and fell asleep on the side of the bike trail. we sprinkled tobacco on her and made a merit. there is so many sad road kill stories we have come across on our long journey. we made it to Luck,Wisconsin. cylester got a flat. and Rah held the Luck Alternative Food Co-op open for us to pick up the night necessities we needed e.g. chocolate, greens, chips, salsa, fig newmans. then we snacked and waited for the rest of the gang to arrive. Ayton went to a super market and scored a crate full of green beans and onions. yeah. we were happy little campers.  it rained all night.and shone in the morning,a cheerful accomplice for our short parade out of Luck .but our luck continued  at the Wren Cafe where we all imbibed of the much talkd about coffee and fresh bread.our planned short stop turned into a plan for an impromptu show!!!!!flyers were colorfully drawn,new scenes added,and faces painted for our evening show.our small and appreciative audience giggled and sang with us into nightfall and a flute accompanied fire show from rah and salamandy sent us on our way...back on the gandy!!!an all nite tribe ride on another cold  and clear evenin  sent clowns digging for sock mittens and into the costume bag for added warmth.we had a legendary stop for food refueling  and  warm-up jumping janes and foot kicks and celester outwitting her attempts to warm up by peeing in her shorts with unstoppable laughs.it was quite a sight.and so much to see along the way,a peesfull ride on the whipporwill  and owl singing and wolf howling trail to a bridge only nine miles from our projected rest stop. we all parked our bikes and watched the river mist rolling in .captivated and cheeks flushed and laugh muscles sore we couldnt help but lay out our sleeping bags and let the spirit of the place lift us into mistee dreemin'.(except for salamandy and jeedy and rah who helped lighten the teqilla load around a game of hot dice)rain and jeedy got us back on the trail and tired tired tired we rolled into danbury and the inside out cafe.broken spoke issues kept wajid awake in search of a new wheel  while the rest of the clowns pitched a tent in the back of the cafe for some much needed rest.wheel found ,a note left,""danbury saves da day""and a split up crew sez farewell to the gandy, hello highway, for a short ride to our evenin camp. the next day found more broken spokes and a farewell to ayton and rah hitchin to superior for trailer and bike repair.sans rah and ayton we all met up by early evening for a soul feeding illegal swim in the manitou falls.just the thing for a bunch of sore and weary walleyes.rootbeer falls swirling around volcanic rock wetted our water loving butts and bellys.we went to sleep refreshed and ready for the next days downhill ride into superior and a grand reunion with jenka rah and ayton.our day started a little early with a dork noodlin park ranger ready to haul all of us into the sheriffs(including sleeping smaila)for illegal camping.intent on teaching us all the way of the law,(particularly important post 9-11) dork noodle cheerfully and with the solemn seeriousness of a hallway monitor,took all our names and forwarded them to the proper authorities.content that we were now in the system and wernt gunna git too far on our food and sparkle laden bikes,he sent us down the road  with a warning.too bad he didnt join us on our ride into superior where we all leapingly reunited and eagerly set out for superior.its gettin on time to go now so ill follow up withe tale of superior next chance we get.the last hundred miles lay before us as the day churns forward.food trailer replenished,new friends made,and songs in our hearts we bike forward.       "
51,"Aytan & Rah got 3 rides into Doolooth, got the new wheel for swamy swam, and treats from the Whole Foods Cooperative. Sitting outside the coop eating, they met Chad, Kristen and 9 month old Forestasia, who invited them to their artist commune for sleeping. And sleep they did. The next morning, Aytanandon headed to Superior, to the library, and found Junka sittin' in front playing guitar. Back from the wedding and riding on silly McGillicutty, it was a joyous reunion, and the rest of the Walleyes soon came ridin' down 35. We did a show that night at Leif Ericson park, and another at a punk house on the west end of town. The trailer got fixed the next day at Jeff and Sarah's great metal forging studio farm house, and aytan forged a spoon fer hisself out of a metal rod!  rah and cylester took off early in a mad rush to pirate island, while everyone else stayed over at the house of metal forgery well, the child came down with a fever that night, and we all worried about her 103 degree heat....but laila smila was bouncing back the next morning, and ready to ride to the island!  everyone piled onto the bikes and set out for bayfield.....    when we got to a detour in the road, we scratched our heads and wondered, 'should we go ten miles out of our way, or try to ford the rivers where the two bridges are out'......two local bikers came along, and gave us the advice that we should go ahead and ford the rivers!  so off we went, into a headwind, late afternoon of july 1 with the sun beginning to turn purplish on the horizon.  we got to a beautiful spot looking over lake superior, and larisky ran down for a quick dip in the frigid fresh waters of the biggest lake in north america......meanwhile salamandy scouted out the road ahead, where the bridge was out, and came back to report 'well, this is going to be......fun......'      we built a little bridge with rocks and carried the bikes and trailers one by one over the muddy, wet culvert.....our toilet paper roll fell in the water, but that was the only casualty of the crossing.        the second river was easier, because we were able to wheel the bikes across a kind of balance beam that the construction workers had so thoughtfully left stretched across the river.  and finally, as the sun was going down, we rolled into the town of port wing, stopping at the bar to get beers for salamandy's birthday party!  silly mcgillicuddy broke a chain, but luckily it was right across from a metal scrapyard when it happened, so junk-a and aytananan searched the surreal piles of junk metal, cars, refrigerators, stoves that reached up and up to the sky, and found a bike with chain that was removed and put onto mcgillicuddy as the last moments of sunlight sank down into the night..... and a full moon, which rose behind scrap metal and up above the superior lake, to enchant our gypsy camp with its warm glow.....we cooked over the campfire in a perfect little grove of trees just above the beach....and were joined by missy the kayaking camper, who gave us apples and gatorade, and sang songs by guitar until late in the night.... then we biked to madeline island, arriving just in the middle of the pirate cabaret on friday evening july 2.  reunited with rah and cylester, we prepared for the big pirate pageant on sunday the 4th.  with much debauchery and rowdiness in tom's burned down cafe each night, the pirates managed to take over madeline island on the 4th, thus re-claiming 'independence day' for TRUE independence, independence from all rulers, nations and authorities....we declared the island to be a temporary autonomous zone, and kidnapped key and prominent community leaders as prisoners on the pirate ship, until they were rescued by rival pirates..... it was an amazing pageant, with about 50 pirated buccaneers, and a couple dozen kids all dressed up in costume and getting into the act......a crew of musicians filled the air with gaiety, and the massive pirate ship, built entirely out of cardboard and paper mache, was mounted on a flatbed pulled by a team of horses all around the town, with pirates raising hell during the 4th of july parade.      we did a show that evening in the live art circus tent, with about 100 people watching (lots of pirates), who cheered for the poop puppets in their pirate ship in the sewer system.    then the walleyes started dropping off like crazy.....first cylester, then larisky, rah, then swervy mcgervy, wajeedeater and smaila, and now salamandy.... leaving junk-a and aytan to recruit here in ashland for the second leg of the trip..... onward we go!! to green bay!! and sheboygan!! waukesha!!  and milwaukee!!  we are biking to lake michigan and beyond.....new skits are emerging from the woodwork to enter our show.......care to come along?       "
52,"well, when we left ashland we were down to three hardy walleye wheelers.... joined by the great and mighty allison and her bike barrett the night we left (the 9th), we sure didn't make it far!! as the sun was going down, we headed out of town, but got distracted by promises of a fire circle and story-telling at northland college south of town....so we biked into the campus, and camped down a path beyond the soccer field -- we were told the path was bikeable, but soon found that ATVs (all-terrain vehicles) had taken it over and created huge ruts and ponds full of water that we, on our laden-down bikes, could not possibly traverse.  but we managed to haul our stuff over to the campsite next to the northland college ravine, and wined and dined on gourmet vegan natural grains and veggies as usual......waking in the morning to a long hot ride south on highway thirteen. too much traffic on thirteen, but we rode all day and made it to a little town called glidden, where there was a big sign announcing 'FREE CAMPING' -- wow!!  so we headed to the town park for the free camping, and found ourselves face to face with a HUGE TANK!  well, many people probably have seen this in their own travels, but still, it's a little disconcerting to see how many of these small midwestern towns have been invaded with old WWII tanks that sit proudly in town parks across this area.  the one in glidden was especially large, and protected us while we slept in the mosquito-infested ATV route that was the town park, with several pickups full of young men eyeing us as they crept along by our campsite several times in the night.  but we left town without a hitch in the AM, but not without viewing the huge stuffed bear that is the town's mascot, and meeting the local mechanic sitting in the 'hometown cafe', who walked over to his shop and got a wrench that could tighten my loose front fork.... as we rode along towards butternut, SNAP!! allison's spoke broke!  easy to fix??  well, not without a cassette remover and chain whip, as it was on the rear wheel.  lucky for us, it happened just as we were passing a yard sale that advertised 'bikes', and turned out to be the residence of THOR, the norse thunder-god, complete with massive hammer!  I mean, this guy had to be eight feet tall, and LARGE....and his two sons who wore overalls and followed his orders.... but he had about a hundred bikes piled up in his yard -- so we went through and found a wheel that (sort of) fit on the bike, listened a bit to Thor telling us how he had to get rid of the internet because one day he found his boys trying to type in 'naked ladies . com', and the one was asking the other how to spell it, and well, he just about threw a fit, and said no more internet!  he was really nice though, and gave us the wheel for free, and said he's trying to start a bike shop with a lodge for touring bikers to stay at, and have a shower and a rest!!  how cool is that??  so if you're biking on thirteen between glidden and butternut, make sure you look for the norse god's secret hideout in central wis... when we got onto 70, we entered the chequamagon-nicollet national forest, and had a wide shoulder with little traffic as the sun set at our backs, casting its pink glow on the white birch trees all around. we camped that night (the tenth) along one of wisconsin's thousands of lakes, called round lake, the site of the only surviving logging dam from the 1880s.  our campsite was right next to the logging dam, and we woke early (6 am!) to avoid any confrontation with freddies (forest service cops).....sleeping on pine needles with the rush of water lulling us to bed, it was hard to imagine the extreme force and brutal logging operations that ripped through this area (and all of wisconsin) less than 150 years ago......in 1850 this area was all old-growth forest.......ojibwe, chippewa indians lived here, fishing out of birch-bark canoes and navigating along the intricate river/lake highways that connected all of northern wisconsin.  and then the europeans came, ripping out ALL the old growth within TWENTY years to build the cities of the east and the midwest.  and in 1872, the huge fires raged through the ravaged land, killing hundreds......the burned out wasteland became farmland, and now, though the forest is re-growing in some places, it is young and extremely unhealthy......could use a good burn.......but humans won't let that happen... all that aside, we got back onto 70 the morning of the 11th only to discover that the shoulder had disappeared and the traffic had increased DRAMATICALLY!  what is it about huge SUVs with american flags that makes so many of them try to run us off the road?  is it some kind of pro-america thing to run bikers off the road??  I don't understand!  but virtually every vehicle that passed was an SUV or pickup, many hauling boats or ATVS in trailers for their vacational recreation. we caught up with many of these vacationers that night, when we tried to perform our show during the intermission of the 'minaquabats' water-skiing larger-than-life water show in minocqua.  we didn't really get many people to watch, and those that did seemed disgusted by our 'poopets'....or maybe just didn't want to hear about water issues while on vacation (a vacation that, in this area, generally includes some obscene display of muscle-powering huge gas-powered boats around polluted lakes and driving through forests on gas-powered ATVs).....camped that night at my relative's house in woodruff, and got to commisserate about the sad state of affairs in U.S. foreign policy... we also got bikes fixed at 'Zee Best' bike shop in minocqua, where the cuban ex-pat who ran the place argued politics and overcharged the wet and soggy walleyes, and also told us we smelled......hmmm. then headed off on the bearskin bike trail, a former railroad bed that was too gorgeous and nice to be true (especially after battling the SUVs the day before).....after six miles, we discovered that, yes, it WAS too good to be true, as we were kicked off the trail by a stern-looking park ranger who demanded our park fee, and when we didn't produce it told us 'go to the highway!' -- which we reluctantly did, but the highway was fast and furious, full of death machines (ie. cars and trucks), so we took the next road back to the trail and, ranger be damned, got back on the trail -- we weren't gonna go for his 'your money or your life!' type of logic....we decided to save our lives and ride on the bike trail instead. when we got to tomahawk, we stayed at the amazing pristine farmhouse of jim and pam wise, who have turned an old dairy farm into a restored wetland, with passive solar on their home and much fresh garlic in their garden!  jim was instrumental in the fight against the crandon mine (check out http://www.nocrandonmine.com/ for more info on this struggle), a fight which was eventually WON a couple of years ago with the help of the Ojibwe Indians in the area. the audiences at the two shows at the library this morning (the 13th) were not quite so welcoming and recpetive to our message as pam and jim, however.  after the first show, the library received complaints that we had 'used the word god in a profane way (ie. oh god, that's disgusting), used the words 'damn' and 'sucks', and had encouraged people to pee outside and not use the toilet, and after all, these parents are trying to potty train their kids, and this IS the city after all....people CAN use toilets.......'........right... so we were literally asked to 'clean up our act' which is kind of hard to do, when your show's about sewage, pollution and poop.....but we did the second show without incident and (apparently) without much offense to any of the audience members..... although i don't think we'll be asked back to the library in tomahawk...... anyway, jim and pam are great, and we're splitting up to meet again in green bay on friday (the 16th) then down to manitowoc (the 18th) and sheboygan (the 20th) then waukesha and milwakee and madison! onward!
"
53,"smooth country roads and the smell of fresh manure greeted us, and we met a nice woman named martine from quebec who is biking from the west to the east coast of the US.......72 miles a day, all loaded down with stuff (makes our 30 mile days seem kind of wimpy in comparison)..... country roads are always nice, but it's pretty bizarre how much mowing of lawns takes place in the countryside of the US.....huge plots of land are razed over by these gas-guzzling machines -- is it any wonder that mowers are second only to cars in their abuse of oil? when it got to be about dusk, a nice guy in a vw van stopped and said we could camp at his friend's house, a few miles down the road.  so we went down to camp there, and found they lived right next to a fancy dinner theatre, out in the middle of the countryside!  we had a bonfire, and roasted vegan marshmallows that pam gave us......then woke bright and early to the sound of wild turkeys and dogs barking to bike the last few miles into manitowoc.  now we're at the culture cafe, a haven of sanity in the midst of midwestern patriotic lunacy, getting ready to do our show at 1......"
